Q_var_7,Q_var_9,Q_var_10,Q_var_11,V_pu_7,V_pu_9,V_pu_10,V_pu_11,V3_out_7,V3_out_9,V3_out_10,V3_out_11,t_s
1095.1390380859375,1009.6513061523438,1109.050537109375,1073.737548828125,1.0406086444854736,1.0385756492614746,1.0392444133758545,1.0386312007904053,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.0
1033.112060546875,947.466552734375,1037.79150390625,1005.9566650390625,1.0519003868103027,1.0498576164245605,1.0510444641113281,1.0506378412246704,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.01
925.8759155273438,851.2120971679688,938.4283447265625,912.3046875,1.0579173564910889,1.0558695793151855,1.0573357343673706,1.0570392608642578,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.02
778.98095703125,719.9249267578125,793.6187744140625,774.0509033203125,1.0611170530319214,1.0590671300888062,1.0606812238693237,1.060443639755249,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.03
632.1915893554688,587.871337890625,646.008544921875,631.8372192382812,1.062817931175232,1.0607671737670898,1.0624597072601318,1.0622538328170776,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.04
502.01885986328125,469.8388977050781,513.47216796875,503.322021484375,1.0637210607528687,1.061669945716858,1.0634040832519531,1.0632150173187256,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.05
396.75006103515625,373.3934326171875,405.2467346191406,397.7510681152344,1.0641998052597046,1.0621488094329834,1.0639047622680664,1.0637247562408447,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.06
317.593505859375,299.9368896484375,323.2718811035156,317.3092956542969,1.0644530057907104,1.0624022483825684,1.0641696453094482,1.0639945268630981,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.07
261.3404541015625,246.92434692382812,264.7522277832031,259.54779052734375,1.0645867586135864,1.0625360012054443,1.0643094778060913,1.0641369819641113,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.08
222.65269470214844,209.8428192138672,224.50567626953125,219.6226348876953,1.0646570920944214,1.0626065731048584,1.0643831491470337,1.0642119646072388,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.09
195.8338623046875,183.748046875,196.79129028320312,192.0546112060547,1.0646939277648926,1.0626435279846191,1.0644217729568481,1.0642513036727905,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.1
175.94985961914062,164.29302978515625,176.54066467285156,171.95608520507812,1.0647132396697998,1.0626628398895264,1.0644419193267822,1.0642718076705933,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.11
159.4036102294922,148.23094177246094,159.96737670898438,155.62913513183594,1.0647231340408325,1.0626728534698486,1.0644522905349731,1.0642824172973633,1.0299361944198608,1.0297595262527466,1.029991626739502,1.0299969911575317,0.12
