time,block_vs_torch,V_study_7,V_loop_7,Q_study_7,Q_loop_7,V3_7,V4_7,Q4_7,V_study_9,V_loop_9,Q_study_9,Q_loop_9,V3_9,V4_9,Q4_9,V_study_10,V_loop_10,Q_study_10,Q_loop_10,V3_10,V4_10,Q4_10,V_study_11,V_loop_11,Q_study_11,Q_loop_11,V3_11,V4_11,Q4_11
06:00,1.7827749252408154e-06,1.015387,1.0149974329144833,-1.2647376e-07,0.0002964162462949,1.0222915410995483,1.1147888898849487,0.2918374538421631,1.0150813,1.0146956598996877,-1.1546958e-07,0.0001148167532682,1.0282211303710938,1.1461584568023682,0.3508069515228271,1.014807,1.0144039001264518,-1.6633204e-07,4.4612492099404336e-05,1.0155527591705322,1.1435201168060305,0.2082285434007644,1.0147729,1.0143650176693473,-1.2206584e-07,-3.580432548828125,1.0117623805999756,1.172194004058838,0.2701210379600525
06:15,1.3634562492925717e-07,1.0108271,1.0102979235631149,3.4179947e-11,-8.46192029118538e-05,1.0274604558944702,1.1245386600494385,0.2441591918468475,1.010487,1.0099575861881032,3.384605e-11,3.189857572317124e-05,1.0296804904937744,1.1701668500900269,0.2434885054826736,1.0101781,1.009619506874927,2.1090045e-11,1.1229918897151946e-05,1.0269825458526611,1.1254384517669678,0.2365844249725341,1.0101407,1.0095724849647096,3.4457683e-11,-0.0052633253002166,1.0279799699783323,1.1754673719406128,0.2315749228000641
06:30,0.0001110282540321,1.0102139,1.009596750959571,8.4265823e-11,-3.39033056050539e-05,1.0285937786102295,1.1380435228347778,0.2083396464586258,1.0098221,1.0092054813257625,8.327379e-11,1.3008719459176064e-05,1.029722809791565,1.1682217121124268,0.2451411634683609,1.0095396,1.0088896638442866,8.003349e-11,-0.0154341548538208,1.027976393699646,1.12707781791687,0.209609717130661,1.0095106,1.008857064774448,8.5073455e-11,0.0029256062555313,1.028348088264465,1.1758965253829956,0.2257730215787887
06:45,0.0021587854623794,1.0091565,1.0087860666272437,1.1561815e-10,-0.0128898642730712,1.02884042263031,1.1396911144256592,0.2060434818267822,1.0087304,1.0083563473692412,1.2256124e-10,-0.0030206558418273,1.029732584953308,1.166343331336975,0.2467763572931289,1.0084553,1.008063360789383,1.139374e-10,0.0014999746704101,1.0281243324279783,1.1272624731063845,0.1872568875551223,1.0084301,1.0080344087614426,1.2005422e-10,-0.0004921839082241,1.0284117460250854,1.1759392023086548,0.2227804362773895
07:00,0.000843939166516,1.0041548,1.0037114717720572,1.6735476e-10,-0.0014346821665763,1.0290673971176147,1.1397544145584106,0.2216392010450363,1.0037066,1.0032710600047816,1.6840522e-10,0.0004915242815017,1.0297527313232422,1.1676703691482544,0.2229875326156616,1.0033623,1.0029092438617837,1.6482136e-10,-0.0002074609404802,1.0285223722457886,1.127856969833374,0.195302665233612,1.0033247,1.0028678796145456,1.713438e-10,7.96313188970089e-05,1.028584361076355,1.1761493682861328,0.2154549062252044
07:15,2.881139516686116e-07,1.0089543,1.0084815053276437,4.166304e-11,0.0002033134520053,1.0291587114334106,1.141459345817566,0.2058739364147186,1.0084597,1.0079954351225942,4.3434284e-11,8.7237536162138e-05,1.029780626296997,1.165159821510315,0.2229004353284835,1.008232,1.0077486215525315,4.482854e-11,3.675885692238807e-05,1.0289641618728638,1.1300939321517944,0.1026340126991272,1.0082186,1.0077311954502426,4.4045465e-11,1.8116327598690987e-05,1.0286056995391846,1.175774097442627,0.2188391089439392
07:30,5.960464477539064e-08,1.0079515,1.0074101650067888,1.1072052e-10,-4.080619394779205e-05,1.0291907787322998,1.140913963317871,0.2142106741666793,1.007444,1.0069088723741169,1.1269594e-10,-1.5495851002633572e-05,1.029752492904663,1.1663004159927368,0.1986718624830246,1.0072187,1.0066588061099733,1.1908333e-10,0.0030269318008422,1.0288429260253906,1.1344587802886963,0.1151483878493309,1.0072074,1.006643448297366,1.1861312e-10,-0.0027940942859649,1.0284277200698853,1.1755515336990356,0.2163098454475402
07:45,0.0004302555322647,1.0090662,1.0085918584457438,7.4809124e-11,4.423410817980766e-06,1.0292342901229858,1.1422189474105835,0.2059383541345596,1.0085288,1.0080630178322136,7.5223855e-11,-0.0029805964088439,1.0297884941101074,1.16768479347229,0.175538957118988,1.008324,1.007839025534264,7.8275206e-11,0.0023913702726364,1.028960108757019,1.13695228099823,0.1064117699861526,1.0083174,1.0078282191189338,7.7140155e-11,-0.0006484363126754,1.028504490852356,1.1751641035079956,0.2134026736021042
08:00,3.1349062919738824e-06,1.0089754,1.008500865172609,8.622965e-11,0.0026188120365142,1.0292657613754272,1.1439874172210691,0.2057932317256927,1.0084325,1.0079666584538547,8.838015e-11,-0.0009675997567176,1.0298200845718384,1.1690125465393066,0.1532992124557495,1.0082392,1.0077539998610818,9.346013e-11,-0.0003575560569763,1.0290446281433103,1.141181468963623,0.1090411841869354,1.0082343,1.0077450047696563,8.92619e-11,-0.0001440759178996,1.0285316705703735,1.1743370294570925,0.2092637866735458
08:15,6.735324859508118e-07,1.0271928,1.0267462481910186,-1.8403568e-07,0.0004087274324893,1.0296019315719604,1.148759841918945,0.1656510531902313,1.0264833,1.0260452891869374,-1.8967698e-07,-0.000118231716454,1.029902458190918,1.160192608833313,0.3752046823501587,1.0266882,1.0262295970456403,-1.9282962e-07,-4.625860646367073e-05,1.0293279886245728,1.143338918685913,0.0072026387788355,1.0267714,1.0263084558432651,-1.9595836e-07,-1.952115084975958e-05,1.0297317504882812,1.178461670875549,0.379754900932312
